詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
62,主詞目,人人,lâng-lâng,泛稱,62(1),,,,,,,,人人,,,1. (名詞) 每一個人。,1. 名詞,1. 恁新婦人人呵咾。 (Lín sin-pū lâng-lâng o-ló.),1. 你媳婦人人稱讚。,1. 62-1-1,,,,
63,主詞目,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,性質、程度,63(1),,,,,,,,,,,1. (形容詞) 非常、很。用來形容程度極深。,1. 形容詞,1. 十二分的感謝 (tsa̍p-jī-hun ê kám-siā),1. 萬分感謝,1. 63-1-1,1. 足/誠,,,
64,主詞目,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,神明、鬼怪、教派,64(1),,,,,,,,十二生相,,,"1. (名詞) 十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。
2. (名詞) 各行各業。","1. 名詞
2. 名詞","2. 時機誠䆀，害我十二生相變透透嘛變無撚。 (Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián.)",2. 時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。,2. 64-2-1,,,,
65,主詞目,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,生理構造,65(1),"[{""漢字"": ""十二指腸"", ""羅馬字"": ""tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g""}]",,,,,,,,,,1. (名詞) 小腸的上段部分，上接胃，下連空腸，長度大約是十二個指頭長，形狀為Ｃ形，是小腸最主要的吸收養分的地方。,1. 名詞,,,,,,,
66,主詞目,二九暝,Jī-káu-mê/Lī-káu-mî,時間節令,66(1),,,,,,,,,,,1. (名詞) 除夕、大年夜。,1. 名詞,1. 二九暝家家戶戶攏咧圍爐。 (Jī-káu-mê ke-ke-hōo-hōo lóng teh uî-lôo.),1. 農曆新年除夕晚上家家戶戶都在圍爐。,1. 66-1-1,,,,
67,主詞目,十八骰仔,si̍p-pat-tâu-á,休閒、娛樂,67(1),,,,,,,,,,,1. (名詞) 骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,1. 名詞,,,,1. 骰仔/撚寶,,1. 十八仔,
68,主詞目,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,"才智能力,形貌、體積,境況、狀態-擬事",68(1),,,,,,,,,,,1. (形容詞) 十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。,1. 形容詞,1. 查某囡仔十八變。 (Tsa-bóo gín-á tsa̍p-peh-piàn.),1. 女大十八變。,1. 68-1-1,,,,
69,主詞目,七夕,tshit-sia̍h,"時間節令,生活狀況,相關器具、活動",69(1),"[{""漢字"": ""七夕"", ""羅馬字"": ""tshit-si̍k""}]",,,,,,,,,,1. (名詞) 農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,1. 名詞,,,,1. 七娘媽生,,,
70,主詞目,了工,liáu-kang,一般動詞-行為動詞,70(1),,,,,,,,,,,1. (動詞) 白費工夫。,1. 動詞,1. 了工閣蝕本。 (Liáu-kang koh si̍h-pún.),1. 白費工夫又賠錢。比喻賠了夫人又折兵。,1. 70-1-1,1. 無彩工,,,
71,主詞目,人工,lâng-kang,"泛稱,服務業及其他,錢財資產",71(1),,,,,,,,人工,,,"1. (名詞) 人力、人手。人的勞動力或是指可以工作的人。
2. (名詞) 工資。從事工作所得的報酬。","1. 名詞
2. 名詞","1. 割稻仔的人工愈濟就愈緊割了。 (Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu.)
2. 臺灣現此時的人工真貴。 (Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì.)","1. 越多人割稻就越快完工。
2. 臺灣現在的工資很貴。","1. 71-1-1
2. 71-2-1",1. 跤手,,2. 工資,
72,主詞目,人才,lâng-tsâi,體態樣貌,72(1),,,,,,,,人才,,,1. (名詞)  外表、儀容。,1. 名詞,1. 恁囝婿的人才生做袂䆀。 (Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái.),1. 你女婿外表長得不錯。,1. 72-1-1,,,,
73,主詞目,入土,ji̍p-thóo/li̍p-thóo,生養老死,73(1),,,,,,,,,,,1. (動詞) 埋葬。將亡者的遺體葬入土中。,1. 動詞,1. 入土為安 (ji̍p-thóo uî an),1. 入土為安,1. 73-1-1,1. 埋,,,
74,主詞目,刁工,thiau-kang,心理狀態,74(1),"[{""漢字"": ""刁工"", ""羅馬字"": ""tiau-kang""}]",,,,,,,刁工,,,"1. (副詞) 專程、特地。
2. (副詞) 故意。","1. 副詞
2. 副詞","1. 我刁工來看你。 (Guá thiau-kang lâi khuànn--lí.)
2. 你愈講，伊愈刁工。 (Lí jú kóng, i jú thiau-kang.)","1. 我專程來看你。
2. 你越說，他越是故意和你唱反調。","1. 74-1-1
2. 74-2-1","1. 刁持/專工
2. 刁故意/刁意故/存心",2. 無張持/無細膩,"1. 專工
2. 故意",
75,主詞目,人中,jîn-tiong/lîn-tiong,生理構造,75(1),,,,,,,,,,,1. (名詞) 人臉部鼻子下，嘴脣上方凹下部分。,1. 名詞,"1. 算命的講，人中長的人較長歲壽。 (Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū.)",1. 算命的說，人中長的人壽命比較長。,1. 75-1-1,,,,
76,主詞目,七孔,tshit-khóng,生理構造,76(1),,,,,,,,,,,1. (名詞) 七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。,1. 名詞,1. 人有七孔。 (Lâng ū tshit-khóng.),1. 人有七竅。,1. 76-1-1,,,1. 七竅,
77,主詞目,九孔,káu-kháng,"魚蝦海獸,食物、飲料、煙酒",77(1),,,,,,,,,,,1. (名詞) 貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。,1. 名詞,,,,,,,
78,主詞目,二手,jī-tshiú/lī-tshiú,"地位、身世、背景,相關用語",78(1),,,,,,,,,,,"1. (名詞) 副手、助手、助理。技術工作中的助手、協助處理事務的人。
2. (名詞) 中古貨。已經使用過，又再出售的貨品。","1. 名詞
2. 名詞","1. 伊是二手，毋是頭手。 (I sī jī-tshiú, m̄ sī thâu-tshiú.)
2. 物件買二手的較俗。 (Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k.)","1. 他是助手，不是師傅。
2. 東西買中古的比較便宜。","1. 78-1-1
2. 78-2-1","1. 副手
2. 中古",1. 師傅/頭手,1. 助理/助手,
79,主詞目,入木,ji̍p-bo̍k/li̍p-bo̍k,"生養老死,婚喪喜慶",79(1),,,,,,,,,,,1. (動詞) 入殮。把死者放進棺木中。,1. 動詞,,,,1. 入殮,,1. 收棺/落棺,
80,主詞目,八仙,pat-sian,神明、鬼怪、教派,80(1),,,,,,,,,,,1. (名詞) 神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。,1. 名詞,1. 八仙綵 (pat-sian-tshái),1. 繡有八仙的紅彩，在喜慶時掛在門楣上,1. 80-1-1,,,,
81,主詞目,刀仔,to-á,生活用品,81(1),,,,,,,,,,,1. (名詞) 小刀。,1. 名詞,,,,1. 刀,,,
82,主詞目,八仙桌,pat-sian-toh,"生活用品,相關器具、活動",82(1),,,,,,,,,,,1. (名詞) 一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(tíng-ē toh)。,1. 名詞,,,,,,,
83,主詞目,八仙綵,pat-sian-tshái,"婚喪喜慶,相關器具、活動",83(1),,,,,,,,,,,1. (名詞) 繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。,1. 名詞,,,,,,,
84,主詞目,刁古董,tiau-kóo-tóng,"心理狀態,待人處事",84(1),,,,,,,,,,,1. (動詞) 刻意作弄、為難別人。,1. 動詞,1. 你莫共伊刁古董。 (Lí mài kā i tiau-kóo-tóng.),1. 你不要為難他。,1. 84-1-1,1. 刁/刁難/為難/欹,,,
85,主詞目,了本,liáu-pún,財務單位、活動,85(1),,,,,,,,,,,1. (動詞) 蝕本、虧本。,1. 動詞,"1. 伊一禮拜至少愛賣三百个，才袂了本。 (I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún.)",1. 他一星期至少要賣三百個，才不會虧本。,1. 85-1-1,1. 塌本/塌錢,1. 省本,,
86,主詞目,人民,jîn-bîn/lîn-bîn,國家、社會、民眾,86(1),,,,,,,,,,,1. (名詞) 百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,1. 名詞,,,,1. 公民/民眾,,,
87,主詞目,人生,jîn-sing/lîn-sing,生養老死,87(1),,,,,,,,,,,1. (名詞) 人的一生、生命歷程。,1. 名詞,1. 人生短短仔 (jîn-sing té-té--á),1. 人生苦短,1. 87-1-1,,,,
88,主詞目,刀石,to-tsio̍h,生活用品,88(1),,,,,,,,,,,1. (名詞) 磨刀石。,1. 名詞,1. 刀石提來磨刀仔。 (To-tsio̍h the̍h-lâi buâ to-á.),1. 磨刀石拿來磨刀子。,1. 88-1-1,,,,
89,主詞目,十全,tsa̍p-tsn̂g,性質、程度,89(1),,,,,,,,,,,1. (形容詞) 完滿、齊全。完美無缺憾。,1. 形容詞,"1. 媠，媠無十全；䆀，䆀無加圇。 (Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g.)",1. 人不會是十全十美的。,1. 89-1-1,1. 完全/齊全/加圇,,,1. 欠點
90,主詞目,十全,si̍p-tsuân,"醫療保健,性質、程度",90(1),,,,,,,,,,,"1. (名詞) 用於中醫藥名。
2. (形容詞) 完美、齊全。完美無缺憾。","1. 名詞
2. 形容詞","1. 十全大補湯 (si̍p-tsuân tāi póo-thng)
2. 十全十美 (si̍p-tsuân-si̍p-bí)","1. 合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。
2. 十全十美","1. 90-1-1
2. 90-2-1",2. 加圇,,,
91,主詞目,八字,peh-jī/pueh-lī,"生養老死,相關器具、活動",91(1),,,,,,,,,,,1. (名詞) 中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。,1. 名詞,1. 算命仙的講𪜶兩人的八字袂合。 (Sǹg-miā-sian--ê kóng in nn̄g lâng ê peh-jī bē ha̍h.),1. 算命先生說他們兩人的八字不合。,1. 91-1-1,1. 生時日月,,,
92,主詞目,七字仔,tshit-jī-á/tshit-lī-á,"文學、藝術,戲劇、音樂",92(1),,,,,,,,,,,1. (名詞) 七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。,1. 名詞,,,,,,,
93,主詞目,十字架,si̍p-jī-kè/si̍p-lī-kè,"神明、鬼怪、教派,相關器具、活動",93(1),,,,,,,,,,,1. (名詞) 西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。,1. 名詞,,,,,,,
94,主詞目,八字跤,pat-jī-kha/pat-lī-kha,體態樣貌,94(1),,,,,,,,八字跤/八字跤,,,1. (名詞) 八字腳。走路內八字或外八字。,1. 名詞,,,,,,,
95,主詞目,十字路,si̍p-jī-lōo/si̍p-lī-lōo,道路、橋梁,95(1),,,,,,,,,,,1. (名詞) 縱橫兩條道路交接之處。,1. 名詞,,,,,,,
96,主詞目,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,時間節令,96(1),,,,,,,,,,,"1. (時間詞) 一大清早。
2. (時間詞) 形容時間還早。","1. 時間詞
2. 時間詞","2. 七早八早，你就想欲歇睏？ (Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn?)",2. 時間還早，你就想休息？,2. 96-2-1,1. 透早,"1. 三更半暝
2. 七晏八晏",,
97,主詞目,入耳,ji̍p-ní/li̍p-ní,反應、表情,97(1),,,,,,,,,,,1. (副詞) 聽進耳裡。,1. 副詞,1. 你講閣較濟伊嘛聽袂入耳。 (Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní.),1. 你說再多他也聽不進去。,1. 97-1-1,,,1. 落耳,
98,主詞目,刀肉,to-bah,生活用品,98(1),,,,,,,,,,,1. (名詞) 指刀子的主體部位。,1. 名詞,,,,,,,
99,主詞目,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,生養老死,99(1),,,,,,,,,,,1. (形容詞) 七老八十。形容年紀很老。,1. 形容詞,"1. 食甲七老八老矣，猶閣毋認老。 (Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn-lāu.)",1. 活到七老八十了，還不認老。,1. 99-1-1,,,,
100,主詞目,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,宗族、家庭,100(1),,,,,,,,,,,1. (名詞) 敗家子。不務正業、傾家蕩產而無法自立的子孫。,1. 名詞,"1. 你著較拍拚咧，毋通做了尾仔囝。 (Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn.)",1. 你要更努力一點，不要做敗家子。,1. 100-1-1,,,,
101,主詞目,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,才智能力,101(1),,,,,,,,二步七仔/二步七仔,,,1. (名詞) 本事、本領。形容人對事情有一點處理的本事、能力。,1. 名詞,1. 講著種花伊閣有二步七仔！ (Kóng-tio̍h tsìng hue i koh ū--jī-pōo-tshit-á!),1. 說到種花他還有點能耐！,1. 101-1-1,1. 才調/本事/本等,,1. 兩步七仔,
102,主詞目,八角,peh-kak/pueh-kak,"食物、飲料、煙酒,形貌、體積",102(1),,,,,,,,,,,1. (名詞) 八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。,1. 名詞,,,,,,,
103,主詞目,十足,tsa̍p-tsiok,性質、程度,103(1),,,,,,,,,,,1. (形容詞) 完全、充分。,1. 形容詞,"1. 睏飽了後，氣力十足。 (Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok.)",1. 一覺睡醒之後，全身都充滿了活力。,1. 103-1-1,,,,
104,主詞目,九芎仔,kiú-kiong-á,"花草樹木,醫療保健",104(1),,,,,,,,,,,1. (名詞) 九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。,1. 名詞,1. 九芎仔柴 (kiú-kiong-á-tshâ),1. 九芎樹,1. 104-1-1,,,1. 九芎仔柴/九芎仔樹,
105,主詞目,人事,jîn-sū/lîn-sū,"服務業及其他,交際應酬",105(1),,,,,,,,,,,"1. (名詞) 機關中的人員升調、獎懲、任免等事務。
2. (名詞) 人力。人的作為。
3. (名詞) 公關。用來送禮的物品。","1. 名詞
2. 名詞
3. 名詞","1. 人事室 (jîn-sū-sik)
2. 盡人事順天意。 (Tsīn jîn-sū sūn thinn-ì.)
3. 過年時仔伊會用外國酒來做人事。 (Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū.)","1. 管理機關人員的辦公處所
2. 盡人事聽天命。
3. 過年的時候他會用外國酒來做公關。","1. 105-1-1
2. 105-2-1
3. 105-3-1",,,,
106,主詞目,八卦,pat-kuà,"魚蝦海獸,相關器具、活動",106(1),,,,,,,,,,,"1. (名詞) 術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。
2. (名詞) 椰子蟹。甲殼類動物。可以爬上椰子樹，用兩隻螯剝食椰肉，故命名為「椰子蟹」。又因為體型碩大，個性凶蠻，頭胸部如八卦圖紋，俗稱「八卦」。","1. 名詞
2. 名詞",,,,,,,
107,主詞目,卜卦,pok-kuà,相關器具、活動,107(1),,,,,,,,,,,1. (動詞) 占卜。推斷未來的吉凶禍福。,1. 動詞,,,,,,1. 卜聖卦,
108,主詞目,二房,jī-pâng/lī-pâng,"宗族、家庭,稱謂輩分",108(1),,,,,,,,,,,1. (名詞) 家族中次男的支系。,1. 名詞,1. 陳家二房的囝孫仔攏真老實。 (Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t.),1. 陳家二房的子孫都很老實。,1. 108-1-1,,,,
109,主詞目,人物,jîn-bu̍t/lîn-bu̍t,"才智能力,戲劇、音樂",109(1),,,,,,,,,,,1. (名詞) 有品格、才能出眾的人。,1. 名詞,1. 大人物 (tuā-jîn-bu̍t),1. 有地位有名望的人,1. 109-1-1,,,,
110,主詞目,十花五色,tsa̍p-hue-gōo-sik,"境況、狀態-擬人,境況、狀態-擬事",110(1),,,,,,,,,,,1. (形容詞) 五花八門、形形色色。,1. 形容詞,1. 十花五色的人 (tsa̍p-hue-gōo-sik ê lâng),1. 形形色色的人,1. 110-1-1,,,1. 五花十色,
111,主詞目,入門,ji̍p-mn̂g/li̍p-mn̂g,"性別、婚姻,房屋租賃、搬遷,教育、學術,性質、程度",111(1),,,,,,,,,,,"1. (動詞) 進門。
2. (動詞) 婦女嫁到夫家。
3. (動詞) 初步學會。
4. (名詞) 指初階讀物，多用在書名。","1. 動詞
2. 動詞
3. 動詞
4. 名詞","1. 我今仔入門，電話就來矣。 (Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah.)
2. 我想欲趕緊共你娶入門。 (Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g.)
3. 學音樂，我拄入門。 (O̍h im-ga̍k, guá tú ji̍p-mn̂g.)
4. 哲學入門 (tiat-ha̍k ji̍p-mn̂g)","1. 我剛進門，電話就來了。
2. 我想要趕快將你娶進門。
3. 學音樂，我才剛剛入門。
4. 哲學入門","1. 111-1-1
2. 111-2-1
3. 111-3-1
4. 111-4-1",,1. 出門,,1. 出門
112,主詞目,人客,lâng-kheh,"相關用語,婚喪喜慶,交際應酬",112(1),,,,,,,,人客,,,1. (名詞) 客人、賓客、顧客。,1. 名詞,"1. 咱愛好好仔招待人客。 (Lán ài hó-hó-á tsiau-thāi lâng-kheh.)
2. 店內人客真濟。 (Tiàm-lāi lâng-kheh tsin tsē.)","1. 我們要好好招呼客人。
2. 店裡顧客很多。","1. 112-1-1
2. 112-1-2",1. 客/客戶/顧客,1. 主人,,
113,主詞目,了後,liáu-āu,時間節令,113(1),,,,,,,,,,,1. (時間詞) 之後。,1. 時間詞,"1. 你出門了後，伊就醒矣。 (Lí tshut-mn̂g liáu-āu, i tō tshénn--ah.)",1. 你出去之後，他就醒了。,1. 113-1-1,,,,
114,主詞目,七星,tshit-tshenn/tshit-tshinn,天文,114(1),,,,,,,,,,,1. (名詞) 北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。,1. 名詞,1. 七星陣 (tshit-tshenn-tīn),1. 依照北斗七星排列所設的陣式,1. 114-1-1,,,1. 北斗星,
115,主詞目,二指,jī-tsáinn/lī-tsáinn,生理構造,115(1),,,,,,,,,,,1. (名詞) 食指。,1. 名詞,1. 大姊昨昏二指去予玻璃幼仔割著。 (Tuā-tsí tsa-hng jī-tsáinn khì hōo po-lê-iù-á kuah--tio̍h.),1. 大姊昨天食指被碎玻璃割到。,1. 115-1-1,1. 指指,,,
116,主詞目,刁持,tiau-tî,心理狀態,116(1),"[{""漢字"": ""刁持"", ""羅馬字"": ""thiau-tî""}]",,,,,,,,,,"1. (副詞) 故意、存心。
2. (副詞) 特地、特意。","1. 副詞
2. 副詞","1. 伊是刁持欲佮我做對的。 (I sī tiau-tî beh kah guá tsò-tuì--ê.)
2. 我是刁持來看你的。 (Guá sī tiau-tî lâi khuànn--lí--ê.)","1. 他是故意要和我作對的。
2. 我是特別來看你的。","1. 116-1-1
2. 116-2-1","1. 刁故意/刁意故
2. 刁工/專工",1. 無張持/無細膩,1. 刁意,
117,主詞目,刁故意,tiau-kòo-ì,心理狀態,117(1),"[{""漢字"": ""刁故意"", ""羅馬字"": ""thiau-kòo-ì""}]",,,,,,,刁故意,,,1. (副詞) 存心、故意。,1. 副詞,1. 伊刁故意欲講予你氣。 (I tiau-kòo-ì beh kóng hōo lí khì.),1. 他故意這麼說要惹你生氣。,1. 117-1-1,1. 刁工/刁持/刁意故/存心,1. 無細膩/無意中,1. 故意,1. 無心
118,主詞目,刀柄,to-pènn/to-pìnn,生活用品,118(1),,,,,,,,,,,1. (名詞) 刀子的把手。,1. 名詞,,,,,,,
119,主詞目,八珍,pat-tin,"道德評價,醫療保健,食物、飲料、煙酒",119(1),,,,,,,,,,,"1. (名詞) 漢方藥劑的名稱，包含：當歸、川芎、白芍、熟地、人參、白朮、茯苓、甘草。
2. (形容詞) 三八。形容人的言行不莊重。","1. 名詞
2. 形容詞",2. 你毋通遐八珍。 (Lí m̄-thang hiah pat-tin.),2. 你不要這麼三八。,2. 119-2-1,2. 三八/三八氣,,,
120,主詞目,人面,lâng-bīn,交際應酬,120(1),,,,,,,,人面,人頭,,1. (名詞) 人脈。,1. 名詞,"1. 伊的人面真闊，拜託伊就無毋著！ (I ê lâng-bīn tsin khuah, pài-thok--i tō bô m̄-tio̍h!)",1. 他的人脈很廣，拜託他就沒錯！,1. 120-1-1,,,,
121,主詞目,人倫,jîn-lûn/lîn-lûn,"組織團體,交際應酬",121(1),,,,,,,,,,,1. (名詞) 人類的倫常，人類相處的各種關係。,1. 名詞,1. 這个案件是人倫悲劇。 (Tsit ê àn-kiānn sī jîn-lûn pi-kio̍k.),1. 這個案件是人倫悲劇。,1. 121-1-1,1. 倫理,,1. 倫常,
122,主詞目,人員,jîn-uân/lîn-uân,"服務業及其他,相關用語",122(1),"[{""漢字"": ""人員"", ""羅馬字"": ""jîn-guân/lîn-guân""}]",,,,,,,,,,"1. (名詞) 擔任某種職務的人。
2. (名詞) 人數。","1. 名詞
2. 名詞","1. 公務人員 (kong-bū jîn-uân)
2. 阮這个單位的人員無夠，工課才會做袂完。 (Guán tsit ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân.)","1. 公務人員
2. 我們這個單位的人數不足，工作才完成不了。","1. 122-1-1
2. 122-2-1",2. 跤手,,2. 人數,
123,主詞目,入厝,ji̍p-tshù/li̍p-tshù,房屋租賃、搬遷,123(1),,,,,,,,入厝,,,1. (動詞) 新居落成，搬入新家。,1. 動詞,"1. 你當時欲入厝？ (Lí tang-sî beh ji̍p-tshù?)
2. 咱愛包禮共伊入厝。 (Lán ài pau-lé kā i ji̍p-tshù.)","1. 你何時要搬入新家？
2. 我們要包禮慶賀他入新家。","1. 123-1-1
2. 123-1-2",,,,
124,主詞目,七娘媽,Tshit-niû-má,神明、鬼怪、教派,124(1),,,,,,,,,,,1. (名詞) 註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。,1. 名詞,,,,,,,
125,主詞目,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,"時間節令,生活狀況,相關器具、活動",125(1),,,,,,,,七娘媽生,,,1. (名詞) 農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。,1. 名詞,,,,1. 七夕,,,
126,主詞目,人家,jîn-ke/lîn-ke,宗族、家庭,126(1),,,,,,,,,,,1. (名詞) 住宅、民家。,1. 名詞,1. 一戶人家 (tsi̍t hōo jîn-ke),1. 一戶人家,1. 126-1-1,,,,
127,主詞目,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,建築物、結構,127(1),,,,,,,,人家厝仔,,,1. (名詞) 民宅。,1. 名詞,,,,1. 徛家/徛家厝,,,
